2024-06-10 10:36:43 class WriteCommand            	ADDR:3 0x12341234
2024-06-10 10:36:58 class ReadCommand             	3
2024-06-10 10:37:28 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:28 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:28 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:28 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:28 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:28 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:29 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:30 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:31 class WriteCommand            	ADDR:0 0xAAAABBBB
2024-06-10 10:37:32 class WriteCommand            	ADDR:1 0xAAAABBBB
2024-06-10 10:37:32 class WriteCommand            	ADDR:2 0xAAAABBBB
2024-06-10 10:37:32 class WriteCommand            	ADDR:3 0xAAAABBBB
2024-06-10 10:37:32 class WriteCommand            	ADDR:4 0xAAAABBBB
2024-06-10 10:37:32 class WriteCommand            	ADDR:0 0xAAAABBBB
